CLUSTERS,INFECTION,Postal Code
Westlite Toh Guan,797,608591
Grace Assembly of God,279,247960
Wizlearn Technologies Pte Ltd,110,149544
The Life Church and Missions Singapore,87,409017
Private dinner function at SAFRA Jurong,83,649848
Dover Court International School,61,139644
Shaw Lodge,56,367951
Cochrane Lodge I,53,757443
31 Sungei Kadut Avenue,49,729660
S11 Dormitory,47,797601
Cassia @ Penjuru,46,608543
North Coast Lodge,43,756992
Kranji Lodge I,31,739522
Sungei Tengah Lodge,27,698924
Tuas View Dormitory,26,637285
Acacia Lodge,24,659548
36 Woodlands Industrial Park E1,23,757748
Kenyon/UBS construction site (9 Penang Road),22,238459
Tampines Dormitory,20,528821
Westlite Woodlands dormitory,20,737723
Project Glory,19,199555
Keppel Shipyard,18,098831
NUH renovation site,18,119074
Tech Park Crescent dormitory,15,637787
PPT Lodge 1A,15,797455
Cochrane Lodge II,14,757444
Toh Guan Dormitory,11,608567
21B Senoko Loop,10,758171
Mustafa Centre,10,207704
